  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    9    0  100.00 100.00    14     14   14      0      9     9   100.00
   2   11    0  100.00 100.00     2      2    2      0     11    11   100.00
   3   15    0   94.12  94.12    16     17   17      0     15    15   100.00
   4   29    0  100.00 100.00    24     24   24      0     29    29   100.00
   5   40    0   70.59  85.71    24     34   28      1     40    40   100.00
   6   28    0   84.62  81.48    22     26   27      3     28    28   100.00
   7   19    0  100.00 100.00    22     22   22      0     19    19   100.00
   8   25    0   90.62 100.00    29     32   29      0     25    25   100.00
   9    9    0  100.00 100.00     9      9    9      0      9     9   100.00
  10    9    0   66.67 100.00     2      3    2      0      9     9   100.00
  11   31    0  100.00 100.00    22     22   22      0     31    31   100.00
  12   19    0  100.00  94.12    16     16   17      0     19    19   100.00
  13   47    0   85.37  92.11    35     41   38      0     47    47   100.00
  14   24    0   82.76  92.31    24     29   26      1     24    24   100.00
  15   25    0   91.18  93.94    31     34   33      1     25    25   100.00
  16   44    0   87.23  97.62    41     47   42      0     44    44   100.00
  17   27    0   83.33  93.75    15     18   16      0     27    27   100.00
  18   30    0   80.77  95.45    21     26   22      1     30    30   100.00
  19    5    0  100.00 100.00     7      7    7      0      5     5   100.00
  20    5    0  100.00 100.00     2      2    2      0      5     5   100.00
  21   17    0   87.50 100.00    21     24   21      0     17    17   100.00
  22    5    0  100.00 100.00     7      7    7      0      5     5   100.00
  23   12    0   94.44 100.00    17     18   17      0     12    12   100.00
  24   14    0  100.00 100.00    13     13   13      0     14    14   100.00
  25   34    0   97.56 100.00    40     41   40      0     34    34   100.00
  26   23    0   96.30 100.00    26     27   26      0     23    23   100.00
  27   29    0  100.00 100.00    32     32   32      0     29    29   100.00
  28   11    0  100.00 100.00    16     16   16      0     11    11   100.00
  29    5    0  100.00 100.00     6      6    6      0      5     5   100.00
  30    9    0  100.00 100.00     2      2    2      0      9     9   100.00
  31   25    0   92.86  89.66    26     28   29      1     25    25   100.00
  32    9    0  100.00 100.00    10     10   10      0      9     9   100.00
  33   26    0   96.15  96.15    25     26   26      0     26    26   100.00
  34   79    0   90.18  96.19   101    112  105      1     79    79   100.00
  35   46    0   88.64  97.50    39     44   40      0     46    46   100.00
  36   19    0  100.00 100.00    26     26   26      0     19    19   100.00
  37    6    0   90.00 100.00     9     10    9      0      6     6   100.00
  38   11    0  100.00 100.00     2      2    2      0     11    11   100.00
  39   41    0   88.46  90.20    46     52   51      3     41    41   100.00
  40   27    0   92.31 100.00    24     26   24      0     27    27   100.00
  41   19    0   95.45 100.00    21     22   21      0     19    19   100.00
  42   16    0  100.00 100.00    24     24   24      0     16    16   100.00
  43   12    0  100.00 100.00    15     15   15      0     12    12   100.00
  44   20    0   96.00  96.00    24     25   25      1     20    20   100.00
  45   24    0   96.55  96.55    28     29   29      1     24    24   100.00
  46   13    0  100.00 100.00    17     17   17      0     13    13   100.00
  47   58    0   89.83  94.64    53     59   56      0     58    58   100.00
  48   14    0   88.24  83.33    15     17   18      1     14    14   100.00
